date,jumlah_bug
2006-01-01,1
2006-01-02,5
2006-01-03,27
2006-01-04,28
2006-01-05,27
2006-01-06,21
2006-01-07,6
2006-01-08,6
2006-01-09,24
2006-01-10,26
2006-01-11,30
2006-01-12,25
2006-01-13,36
2006-01-14,6
2006-01-15,4
2006-01-16,33
2006-01-17,37
2006-01-18,33
2006-01-19,24
2006-01-20,29
2006-01-21,5
2006-01-22,6
2006-01-23,32
2006-01-24,33
2006-01-25,45
2006-01-26,38
2006-01-27,33
2006-01-28,5
2006-01-29,6
2006-01-30,28
2006-01-31,38
2006-02-01,38
2006-02-02,39
2006-02-03,24
2006-02-04,9
2006-02-05,12
2006-02-06,40
2006-02-07,38
2006-02-08,37
2006-02-09,59
2006-02-10,29
2006-02-11,12
2006-02-12,9
2006-02-13,78
2006-02-14,118
2006-02-15,36
2006-02-16,46
2006-02-17,45
2006-02-18,13
2006-02-19,10
2006-02-20,37
2006-02-21,30
2006-02-22,32
2006-02-23,36
2006-02-24,25
2006-02-25,8
2006-02-26,13
2006-02-27,20
2006-02-28,38
2006-03-01,43
2006-03-02,45
2006-03-03,37
2006-03-04,10
2006-03-05,6
2006-03-06,33
2006-03-07,39
2006-03-08,37
2006-03-09,35
2006-03-10,35
2006-03-11,7
2006-03-12,7
2006-03-13,33
2006-03-14,40
2006-03-15,43
2006-03-16,48
2006-03-17,38
2006-03-18,7
2006-03-19,5
2006-03-20,17
2006-03-21,25
2006-03-22,34
2006-03-23,35
2006-03-24,24
2006-03-25,6
2006-03-26,5
2006-03-27,26
2006-03-28,106
2006-03-29,57
2006-03-30,39
2006-03-31,24
2006-04-01,6
2006-04-02,8
2006-04-03,37
2006-04-04,57
2006-04-05,58
2006-04-06,46
2006-04-07,44
2006-04-08,10
2006-04-09,19
2006-04-10,46
2006-04-11,36
2006-04-12,52
2006-04-13,46
2006-04-14,17
2006-04-15,7
2006-04-16,8
2006-04-17,35
2006-04-18,69
2006-04-19,42
2006-04-20,50
2006-04-21,59
2006-04-22,10
2006-04-23,16
2006-04-24,32
2006-04-25,74
2006-04-26,56
2006-04-27,55
2006-04-28,48
2006-04-29,7
2006-04-30,6
2006-05-01,62
2006-05-02,46
2006-05-03,50
2006-05-04,32
2006-05-05,32
2006-05-06,4
2006-05-07,7
2006-05-08,30
2006-05-09,47
2006-05-10,38
2006-05-11,41
2006-05-12,20
2006-05-13,3
2006-05-14,5
2006-05-15,31
2006-05-16,20
2006-05-17,37
2006-05-18,29
2006-05-19,34
2006-05-20,5
2006-05-21,7
2006-05-22,29
2006-05-23,17
2006-05-24,24
2006-05-25,23
2006-05-26,24
2006-05-27,3
2006-05-28,4
2006-05-29,31
2006-05-30,30
2006-05-31,31
2006-06-01,38
2006-06-02,13
2006-06-03,4
2006-06-04,5
2006-06-05,24
2006-06-06,37
2006-06-07,24
2006-06-08,21
2006-06-09,23
2006-06-10,2
2006-06-11,7
2006-06-12,14
2006-06-13,27
2006-06-14,18
2006-06-15,17
2006-06-16,23
2006-06-17,2
2006-06-18,3
2006-06-19,14
2006-06-20,5
2006-06-21,18
2006-06-22,16
2006-06-23,14
2006-06-24,8
2006-06-25,5
2006-06-26,16
2006-06-27,20
2006-06-28,28
2006-06-29,21
2006-06-30,7
2006-07-01,7
2006-07-02,3
2006-07-03,11
2006-07-04,18
2006-07-05,28
2006-07-06,22
2006-07-07,25
2006-07-08,3
2006-07-09,4
2006-07-10,12
2006-07-11,21
2006-07-12,17
2006-07-13,17
2006-07-14,14
2006-07-15,2
2006-07-16,3
2006-07-17,17
2006-07-18,20
2006-07-19,27
2006-07-20,20
2006-07-21,13
2006-07-22,4
2006-07-23,6
2006-07-24,15
2006-07-25,20
2006-07-26,26
2006-07-27,24
2006-07-28,17
2006-07-29,4
2006-07-30,5
