bulan,jumlah_bug
2006-01-01 00:00:00+00:00,697
2006-02-01 00:00:00+00:00,931
2006-03-01 00:00:00+00:00,946
2006-04-01 00:00:00+00:00,1056
2006-05-01 00:00:00+00:00,796
2006-06-01 00:00:00+00:00,474
2006-07-01 00:00:00+00:00,446
2006-08-01 00:00:00+00:00,514
2006-09-01 00:00:00+00:00,506
2006-10-01 00:00:00+00:00,489
2006-11-01 00:00:00+00:00,507
2006-12-01 00:00:00+00:00,437
2007-01-01 00:00:00+00:00,489
2007-02-01 00:00:00+00:00,550
2007-03-01 00:00:00+00:00,797
2007-04-01 00:00:00+00:00,612
2007-05-01 00:00:00+00:00,777
2007-06-01 00:00:00+00:00,419
2007-07-01 00:00:00+00:00,331
2007-08-01 00:00:00+00:00,385
2007-09-01 00:00:00+00:00,345
2007-10-01 00:00:00+00:00,435
2007-11-01 00:00:00+00:00,394
2007-12-01 00:00:00+00:00,296
2008-01-01 00:00:00+00:00,356
2008-02-01 00:00:00+00:00,362
2008-03-01 00:00:00+00:00,501
2008-04-01 00:00:00+00:00,477
2008-05-01 00:00:00+00:00,478
2008-06-01 00:00:00+00:00,338
2008-07-01 00:00:00+00:00,306
2008-08-01 00:00:00+00:00,240
2008-09-01 00:00:00+00:00,351
2008-10-01 00:00:00+00:00,391
2008-11-01 00:00:00+00:00,402
2008-12-01 00:00:00+00:00,265
2009-01-01 00:00:00+00:00,380
2009-02-01 00:00:00+00:00,393
2009-03-01 00:00:00+00:00,454
2009-04-01 00:00:00+00:00,415
2009-05-01 00:00:00+00:00,449
2009-06-01 00:00:00+00:00,262
2009-07-01 00:00:00+00:00,198
2009-08-01 00:00:00+00:00,214
2009-09-01 00:00:00+00:00,238
2009-10-01 00:00:00+00:00,264
2009-11-01 00:00:00+00:00,230
2009-12-01 00:00:00+00:00,147
2010-01-01 00:00:00+00:00,275
2010-02-01 00:00:00+00:00,217
2010-03-01 00:00:00+00:00,308
2010-04-01 00:00:00+00:00,252
2010-05-01 00:00:00+00:00,272
2010-06-01 00:00:00+00:00,187
2010-07-01 00:00:00+00:00,169
2010-08-01 00:00:00+00:00,179
2010-09-01 00:00:00+00:00,151
2010-10-01 00:00:00+00:00,170
2010-11-01 00:00:00+00:00,162
2010-12-01 00:00:00+00:00,124
2011-01-01 00:00:00+00:00,172
2011-02-01 00:00:00+00:00,126
2011-03-01 00:00:00+00:00,140
2011-04-01 00:00:00+00:00,104
