id,nama_task,durasi_rencana_hari,panjang_deskripsi_kata,jumlah_tag,prioritas_tinggi,adalah_bug,sedang_blocked,jumlah_komentar,beban_kerja_assignee,bulan_dibuat,tim,peran_assignee,status_proyek,terlambat,estimasi_keterlambatan_hari
48695218-45c7-4d7b-9fc7-e0b872db46f4,API Gateway - Refactor - Error handling,9.604166666666666,20,3,1,0,0,3,1,10,Backend Engineering,Spesialis Lainnya,active,0,0.0
c5585a13-cad7-444b-8e1c-ac35b99f5b93,Cache Layer - Implement - Redis caching,16.5625,8,2,1,0,0,4,0,10,Backend Engineering,Spesialis Lainnya,active,0,0.0
7472a58a-c527-4f7c-8148-bbd75cad5824,Query Analysis - Profile - Slow queries,5.625,6,2,0,0,0,3,4,11,Backend Engineering,Spesialis Lainnya,active,0,0.0
c4dfb227-1567-4dfc-b58b-a864ae983970,Design Initial Project Architecture,34.0,29,1,0,0,0,3,1,9,Team 6,Ops,completed,0,0.0
acf67f2e-493d-4d75-8ee4-9622275c5f7f,Conduct User Acceptance Testing,43.0,31,2,0,0,0,2,0,9,Team 6,Spesialis Lainnya,completed,0,0.0
e87f3a75-7d9a-4b43-9a40-df0ed314f850,Develop Marketing Strategy for Launch,43.0,32,1,0,0,0,0,2,9,Team 6,Marketer,completed,0,0.0
ee53dd0e-3fb1-4b10-a98f-8ef9dbbf4736,Prepare Technical Documentation,59.0,29,1,0,0,0,4,1,10,Team 6,Designer,completed,0,0.0
c6afa4ab-0be5-4f8a-965f-a6f7c64b4f7b,Set Up Customer Support Framework,3.0,29,2,0,1,0,3,2,9,Team 6,Designer,completed,0,0.0
de4795cb-6069-47e7-a708-f318267c72aa,Analyze Market Trends Post-Launch,10.0,32,0,0,0,0,4,0,10,Team 6,Spesialis Lainnya,completed,0,0.0
8891eef0-c469-4ca4-8a79-dc71235da446,Design System Architecture,64.0,24,1,0,0,0,0,0,9,Team 6,Spesialis Lainnya,completed,0,0.0
0dd2e650-7239-48f9-af74-485de24110c6,Implement Core Features,4.0,23,2,0,0,0,1,2,9,Team 6,Engineer,completed,0,0.0
4cae38ef-3476-46fb-a6e2-91ddb2fb37f6,Prepare Project Documentation,2.0,24,2,0,1,0,0,0,9,Team 6,Product Manager,completed,0,0.0
ada77cb2-1e12-42bf-aaf8-f945e684ec15,Organize Project Launch Event,24.0,23,2,0,0,0,0,0,9,Team 6,Designer,completed,0,0.0
d6fc64e7-ba1e-4af9-aace-3ae18a3f472d,Develop Core Functionality,71.0,33,1,0,0,0,0,0,9,Team 6,Product Manager,completed,0,0.0
845aed4c-dde0-405f-a60f-e42c8bae1799,Create User Documentation,68.0,25,2,1,0,0,0,0,9,Team 6,Designer,completed,0,0.0
762b69ec-7ee6-4f27-8ea7-871fd997fa03,Launch Marketing Campaign,86.0,27,1,0,0,0,0,1,10,Team 6,Ops,completed,0,0.0
2f45e097-86ac-4d08-aaba-61a15916e9bd,Design Initial Project Architecture,29.0,26,0,0,0,0,0,0,10,Team 6,Engineer,completed,0,0.0
d0f1e7dc-b500-43c0-89a4-104023c4214a,Conduct User Testing,68.0,21,0,0,0,0,1,0,9,Team 6,Marketer,completed,0,0.0
f3dcc521-0a0c-4ace-bc2f-002da9afa9b4,Create Marketing Materials,30.0,23,3,0,0,0,3,3,10,Team 6,Designer,completed,0,0.0
bc6f40bd-8432-4a21-b3c3-d622e0c7a6af,Plan Project Launch Event,7.0,23,3,0,0,0,3,0,10,Team 6,Designer,completed,0,0.0
935c2665-d411-4e47-88cc-2dedb105a6b5,Finalize Project Documentation,1.0,26,1,0,1,0,3,4,10,Team 6,Designer,completed,1,8.0
87b34301-d9cb-47f2-8997-d704285cc4da,Design initial project architecture,19.0,25,1,0,0,0,1,1,2,Team 6,Marketer,active,0,0.0
7f22ec35-e8c7-4ee8-a474-a94fcead22ab,Set up development environment,29.0,25,1,0,0,0,0,5,1,Team 6,Marketer,active,0,0.0
ab05e1d4-9d25-4950-bb9b-087b2aa29256,Conduct market research,48.0,25,0,0,0,0,1,4,2,Team 6,Marketer,active,0,0.0
c18e9bd1-95c5-498d-8207-b09469371e00,Create user documentation,45.0,28,2,0,0,0,0,3,2,Team 6,Marketer,active,0,0.0
084e1278-b824-4667-bd5d-0636c9c2f4b6,Plan product launch strategy,86.0,26,2,0,0,0,4,2,1,Team 6,Engineer,active,0,0.0
783ca99b-5896-4cf8-b14e-e32d5ef2c234,Develop Initial Project Specifications,25.0,26,1,0,0,0,0,0,1,Team 6,Spesialis Lainnya,active,0,0.0
974df37f-ef33-423e-9d8f-e65bb11bbdd6,Set Up Development Environment,-6.3146875,26,2,0,0,0,1,0,1,Team 6,Spesialis Lainnya,active,1,9.3
f763ecc0-c63d-4abd-a252-de19a05835a4,Create Marketing Strategy Outline,64.0,28,0,0,0,0,4,0,2,Team 6,Spesialis Lainnya,active,0,0.0
4e4d9640-d9dd-4d6c-8f47-5375db605bab,Organize Team Kickoff Meeting,31.0,29,0,0,0,0,1,2,2,Team 6,Ops,active,0,0.0
53816776-b026-44ad-826e-d6b6f3d114d6,Develop Initial Prototype,5.0,30,2,1,0,1,0,4,2,Team 6,Engineer,active,0,0.0
9e591f8f-4cb4-4f88-a2ae-a51d1a079d98,Conduct Market Research,72.0,23,3,0,0,0,4,0,1,Team 6,Spesialis Lainnya,active,0,0.0
8bfdc329-5b48-4989-a224-e334e56f4e1c,Prepare for Team Review Meeting,25.0,27,1,0,0,0,2,1,1,Team 6,Engineer,active,0,0.0
8dc3f966-ee70-4906-8a1b-975faf78aabf,Billing Module - Implement - logging pipeline,77.0,16,1,0,0,0,3,0,4,Team 10,Engineer,active,0,0.0
ddb57535-7afa-42cc-8a3b-1089b7d253ba,Auth Service - Optimize - pagination support,11.0,6,1,0,0,0,3,2,6,Team 10,Marketer,active,0,0.0
c07b5eff-cd45-4383-8aff-c0df582012ba,Search Index - Extend - pagination support,2.0,14,4,1,0,1,3,0,4,Team 10,Spesialis Lainnya,active,1,1.0
71b72b2d-93b7-48c2-b562-5d312e0a057c,Notification Service - Implement - pagination support,1.0,0,1,0,0,0,0,1,5,Team 10,Marketer,active,1,7.0
7304ddcd-5621-41b5-ac65-0bf7b26851ff,Billing Module - Extend - pagination support,7.0,7,0,0,0,0,1,0,4,Team 10,Engineer,active,1,1.0
40686598-b766-4a24-867d-acabdcad1821,Billing Module - Implement - logging pipeline,79.0,17,0,0,0,0,4,0,4,Team 10,Engineer,active,0,0.0
f73bc1b9-ab86-4e56-a9b4-adfdec415dbf,Notification Service - Optimize - logging pipeline,20.0,11,1,1,0,0,2,0,4,Team 10,Product Manager,active,0,0.0
8445e16d-940a-444c-8d41-b18ff0de837a,API Gateway - Implement - error handling,7.0,5,1,0,0,0,4,0,3,Team 10,Ops,active,0,0.0
47983682-ee04-4cde-82f0-f1301734e4dc,Billing Module - Extend - pagination support,3.0,22,2,0,0,0,3,0,5,Team 10,Product Manager,active,0,0.0
cad6fcc0-4e54-4669-9d57-c218f170bddf,Notification Service - Optimize - edge cases,51.0,15,2,0,0,0,0,1,4,Team 10,Marketer,active,0,0.0
5103566b-9552-4c4d-a9c6-1aa798d9738b,Billing Module - Implement - pagination support,65.0,7,0,0,0,0,3,0,5,Team 10,Product Manager,active,0,0.0
05898135-d8e8-497f-87b3-e31c4d8a4e2c,Auth Service - Refactor - pagination support,37.0,6,2,0,0,0,2,0,5,Team 10,Ops,active,0,0.0
7635dd92-8a8a-46f8-ad2a-fd200e1066a2,Notification Service - Extend - error handling,90.0,4,2,0,0,0,0,0,4,Team 10,Engineer,active,0,0.0
674508d0-3120-4aeb-8341-197ab643bf02,Notification Service - Refactor - edge cases,16.0,7,0,0,0,0,3,0,4,Team 10,Marketer,active,0,0.0
8994d172-6b8b-4c40-aa64-ac0842895ead,Toward baby parent first strategy.,6.0,24,1,0,0,0,1,0,8,Team 9,Product Manager,completed,0,0.0
5b4072b1-d17b-42fc-813a-484bd6353c66,Wonder mention spring race property city.,50.0,25,0,0,0,0,2,1,8,Team 9,Engineer,completed,0,0.0
b7f6b579-cedf-4160-9f9e-3740eda6fd91,Care loss answer teach with several hold assume.,6.0,0,1,0,0,0,3,0,8,Team 9,Engineer,completed,0,0.0
22ad1e31-fbd0-4d30-b148-1579f6ea4ad6,Easy rest safe allow behind address.,65.0,6,3,0,0,0,0,2,8,Team 9,Marketer,completed,0,0.0
058daf2a-9407-4402-b662-31a247a0732a,Edge oil us provide past huge look.,59.0,4,1,0,0,0,1,1,8,Team 9,Designer,completed,0,0.0
c8986c0c-f35d-452d-8362-3e55302f0c52,Not throw cause.,3.0,0,3,0,0,0,0,0,8,Team 9,Designer,completed,0,0.0
bb78218c-b494-4644-a9db-4bbdd280eb37,Final identify care prepare agreement.,77.0,11,0,0,0,0,1,0,8,Team 9,Ops,completed,0,0.0
0b244d39-1d71-4673-9ce0-52feae62f411,Friend evidence almost safe quality attention.,28.0,6,2,0,0,0,0,0,8,Team 9,Designer,completed,0,0.0
57c86453-6f7e-49c5-8a38-b7dbcc6887ff,Religious once ready machine memory.,2.0,14,1,0,0,0,2,1,8,Team 9,Designer,completed,0,0.0
a9b0e398-556d-475a-837b-d6f1175220c4,Happen message event surface.,72.0,28,0,0,0,0,2,1,8,Team 9,Engineer,completed,0,0.0
7d271344-d559-4932-8bf6-e4842e61f69e,Same lose college why.,4.0,5,0,0,0,0,2,0,8,Team 9,Engineer,completed,1,6.0
0934bf65-e956-4e6d-ab90-c106e24cb677,Federal man environmental main final first high.,26.0,5,3,0,0,0,2,0,8,Team 9,Spesialis Lainnya,completed,0,0.0
3a83d2d7-c792-4123-a7ed-5c728eba5e47,Computer song hair financial perform.,30.0,26,0,0,0,0,4,0,8,Team 5,Product Manager,completed,0,0.0
f4b64de4-d5cf-4369-b7d5-cfac83032c37,Either add business information scene tonight.,21.0,8,0,0,0,0,4,0,8,Team 5,Product Manager,completed,0,0.0
eddd1273-d72a-4ab2-af0e-661de7bf5e61,Piece amount environment trade.,57.0,0,2,0,0,0,2,2,8,Team 5,Designer,completed,0,0.0
765d269e-eb19-49c6-839b-55ea3cf8d885,Place three example television current already position.,73.0,23,2,0,0,0,0,0,7,Team 5,Marketer,completed,0,0.0
17f6ba59-1569-4052-ad30-fd1e1aca7619,Find better maintain last idea very life.,4.0,27,0,0,0,0,0,5,8,Team 5,Engineer,completed,1,7.0
40ac24cd-852b-4c42-8b8f-68c3f2168af0,Recently eye development source spend school.,43.0,26,1,0,0,0,1,0,8,Team 5,Spesialis Lainnya,completed,0,0.0
acce57a3-cd40-451e-a324-eb46645d5000,Leg federal subject nothing fight.,56.0,11,3,0,0,1,0,3,8,Team 5,Product Manager,completed,0,0.0
99cc3547-1eea-4853-9023-0abf9330a482,She right speak class happy.,4.0,7,0,0,0,0,3,0,8,Team 5,Ops,completed,1,10.0
f3697325-9833-421c-8791-56d36284bd9e,Search Index - Implement - performance bottleneck,54.0,0,0,0,0,0,0,0,4,Team 2,Engineer,completed,0,0.0
2a8e82db-d9d1-48e1-805f-7135d45b4662,UI Layer - Implement - logging pipeline,12.0,26,1,0,0,0,0,0,3,Team 2,Product Manager,completed,0,0.0
2e903d28-fc4e-4ae8-b659-30ec3cbdc1aa,Search Index - Extend - pagination support,-11.468668981481482,29,3,0,1,0,1,0,4,Team 2,Marketer,completed,1,15.5
38f691ab-0a0b-418b-a650-3b6631f96d20,API Gateway - Refactor - performance bottleneck,3.0,4,0,0,0,0,0,0,3,Team 2,Spesialis Lainnya,completed,1,4.0
2713f803-8673-4ef4-9166-777db96cf718,Search Index - Implement - pagination support,31.0,0,1,0,0,1,2,0,3,Team 2,Product Manager,completed,0,0.0
76d4f4e6-afeb-432d-882c-adb78b5aa473,Auth Service - Extend - error handling,8.0,14,1,0,0,0,4,2,4,Team 2,Ops,completed,0,0.0
2f9418d2-de89-4e60-ad21-ab210f230944,Auth Service - Implement - pagination support,85.0,25,1,0,0,0,4,0,2,Team 2,Designer,completed,0,0.0
6f694c9f-be3a-4717-a3ed-95fafe97b308,UI Layer - Refactor - edge cases,18.0,25,0,0,0,0,4,1,4,Team 2,Designer,completed,0,0.0
c5af104c-18a6-47ac-9ff3-6084662073b9,Search Index - Optimize - pagination support,-35.01314814814815,5,3,0,0,0,0,0,4,Team 2,Ops,completed,1,40.0
d9fd4a14-285a-4533-8456-b80fa5282919,Notification Service - Refactor - edge cases,52.0,0,3,0,0,0,2,0,4,Team 2,Engineer,completed,0,0.0
efa29cdc-7b04-4fa0-8436-61a9c9283d13,Auth Service - Refactor - performance bottleneck,32.0,13,0,0,0,0,2,1,2,Team 2,Ops,completed,0,0.0
a1fc7aca-ebe8-482b-9fbe-8264f268db6c,Auth Service - Optimize - error handling,13.0,0,0,0,0,0,0,0,4,Team 2,Marketer,completed,0,0.0
0b94ffab-e762-40ed-80fb-e8be96dc756b,Billing Module - Refactor - error handling,7.0,5,1,0,0,1,4,0,4,Team 2,Designer,completed,0,0.0
b0eb207c-9510-4f3c-bfb9-ad27b6bd6193,Search Index - Fix - error handling,89.0,15,3,1,1,0,1,1,4,Team 2,Designer,completed,0,0.0
d0a4bbca-583f-4822-a96e-213a8dae799e,API Gateway - Extend - pagination support,14.0,15,2,0,1,1,3,0,3,Team 2,Designer,completed,0,0.0
4903df98-a3b1-451d-8915-9456a76485ee,API Gateway - Fix - pagination support,2.0,0,2,0,1,0,3,0,12,Team 18,Spesialis Lainnya,active,0,0.0
20bee8c1-6f81-4758-be70-8afc41bafa0b,API Gateway - Extend - performance bottleneck,18.0,5,0,0,0,0,1,2,12,Team 18,Engineer,active,0,0.0
66e08dbb-343b-4bdc-b341-68220c407497,UI Layer - Refactor - edge cases,81.0,0,3,0,1,0,0,1,2,Team 18,Designer,active,0,0.0
3c5b7483-d754-4869-b99e-f89ce8ea598e,API Gateway - Refactor - performance bottleneck,68.0,14,2,0,0,0,0,0,12,Team 18,Marketer,active,0,0.0
88de150c-bad3-45ba-bc64-3f4ab1323714,UI Layer - Refactor - performance bottleneck,2.0,8,1,0,0,0,0,0,12,Team 18,Spesialis Lainnya,active,0,0.0
