ukuran_tim,durasi_rencana_hari,anggaran_juta,kompleksitas,pengalaman_tim_tahun,perubahan_requirement,keterlibatan_klien,risiko_teknologi,jumlah_stakeholder,turnover_tim_persen,ketersediaan_sumber_daya,metodologi,terlambat,prediksi_probabilitas
28,315,334.4,3,0.4,6,5,4,15,7.3,2,Agile,0,0.7003652092505472
8,266,1100.5,3,2.5,3,4,4,20,18.0,4,Waterfall,1,0.49299601609811977
33,291,1613.2,4,4.1,5,1,2,15,18.9,4,Hybrid,1,0.5555644018841569
25,226,1202.0,1,7.5,7,4,2,20,14.2,4,Waterfall,0,0.32832284007737234
35,357,317.9,4,8.3,4,4,1,4,17.1,5,Waterfall,0,0.44494057498851486
30,121,865.5,5,2.8,3,3,2,13,0.0,1,Agile,0,0.6226836776575919
27,272,373.1,5,3.5,0,4,2,15,16.1,5,Waterfall,1,0.6579056376330878
34,40,602.4,2,3.3,3,2,3,9,0.0,3,Waterfall,1,0.6323903144223357
35,215,678.1,3,2.0,10,4,3,9,23.5,5,Waterfall,1,0.772812843186025
40,137,1409.2,4,5.8,5,1,1,15,6.4,5,Waterfall,0,0.5551678017321828
9,205,701.1,1,4.2,4,5,2,2,16.1,4,Agile,0,0.25878230998128987
39,197,454.2,4,7.4,5,1,3,11,13.1,3,Agile,1,0.5775141722636508
35,93,555.2,1,3.6,3,1,5,5,16.3,1,Agile,1,0.650843428527136
15,83,911.7,3,3.2,3,5,1,20,2.5,1,Agile,0,0.40824656660766495
33,161,509.9,3,3.3,2,5,4,6,18.0,2,Hybrid,1,0.6489208086421165
23,74,429.1,5,11.3,0,5,3,13,23.8,3,Hybrid,0,0.33924583946857045
31,80,802.4,2,2.1,3,5,4,6,18.7,4,Agile,0,0.45542799259709066
38,232,520.9,2,1.5,2,1,1,5,7.3,4,Agile,1,0.5615846365718872
7,194,1719.2,5,7.6,1,5,5,9,13.8,2,Agile,0,0.32104734375130883
19,260,449.3,5,2.2,4,4,5,9,5.8,4,Waterfall,1,0.8081918400926449
13,308,773.7,3,5.6,4,2,1,2,14.8,3,Agile,0,0.2339191559215442
8,181,1034.1,5,0.9,4,2,1,8,17.1,2,Hybrid,1,0.6774567671095149
9,300,709.0,3,2.0,2,3,1,11,28.2,4,Hybrid,0,0.5225203304648319
38,81,286.9,2,2.5,3,5,1,11,18.4,3,Agile,0,0.5956613275583506
40,209,238.4,2,6.3,4,4,2,20,25.2,4,Agile,0,0.26429865254264795
5,114,926.8,4,2.1,2,1,2,16,12.1,5,Agile,1,0.4321058054163102
3,140,738.5,5,6.3,5,3,3,4,18.8,2,Agile,0,0.36471251173303526
29,297,817.1,5,3.5,3,1,5,16,21.7,2,Hybrid,1,0.825198112613421
25,210,336.7,1,4.7,5,5,1,16,6.1,3,Agile,1,0.2876327420403224
29,264,697.3,2,2.0,5,1,5,10,7.3,5,Waterfall,1,0.7247425776197846
31,320,323.7,1,7.9,2,4,4,2,25.6,5,Agile,0,0.20162306238647393
35,319,222.6,1,6.6,5,1,4,10,15.0,1,Agile,1,0.5382981931399201
13,36,405.5,2,5.9,2,3,5,16,23.0,4,Agile,0,0.20332046933926176
28,265,1104.6,4,5.9,4,2,3,5,5.3,1,Waterfall,1,0.45656175618756567
36,100,941.5,2,3.8,3,5,1,15,5.8,5,Agile,0,0.267983476802422
32,117,389.4,2,20.5,2,2,4,16,14.1,4,Hybrid,0,0.25419473145661337
35,105,1067.7,4,2.5,6,4,4,7,17.1,1,Waterfall,1,0.805154401036001
12,147,761.9,5,1.1,7,2,3,3,23.4,5,Waterfall,1,0.8628264634468567
12,176,879.8,5,6.3,6,3,4,6,0.7,1,Agile,1,0.41624281752325654
20,193,180.7,5,8.8,4,1,3,12,18.1,2,Hybrid,1,0.411702863254424
27,364,363.4,2,2.9,6,3,5,12,15.3,4,Hybrid,1,0.6472864899522748
30,284,490.5,2,3.2,6,3,5,6,15.8,3,Agile,1,0.5993950951127062
3,209,626.9,2,0.8,2,3,2,12,24.6,4,Agile,0,0.46103328850522274
13,348,549.6,2,2.4,2,3,4,10,20.6,3,Agile,1,0.5026983183498871
5,107,774.0,2,6.2,2,2,2,16,9.4,3,Agile,0,0.14985181105235973
20,313,493.5,3,5.0,0,2,4,4,7.9,5,Agile,0,0.29125104665625917
38,98,433.7,4,5.7,4,4,4,14,13.9,4,Agile,1,0.4941743277628954
20,276,680.2,4,3.4,8,2,3,6,15.1,2,Agile,1,0.7783477982376079
36,167,859.7,1,3.4,2,1,4,12,30.6,3,Waterfall,1,0.7100764492879296
34,76,244.5,1,3.0,6,5,4,14,20.6,3,Agile,0,0.5874426593367296
16,219,1025.7,5,3.3,7,2,5,11,20.4,1,Agile,1,0.6792007138302832
29,362,787.0,4,4.8,3,2,1,6,20.0,3,Agile,1,0.4895218283637872
28,49,796.7,5,3.3,1,5,5,14,4.5,1,Waterfall,1,0.747267800252073
30,187,1117.9,1,10.9,3,4,2,14,25.2,4,Waterfall,0,0.21360985686820527
7,81,852.4,2,5.9,1,5,3,5,4.2,1,Agile,0,0.1621535149622832
19,288,387.7,5,7.1,1,5,4,18,4.2,3,Agile,0,0.3844489115154501
7,286,358.1,4,2.2,3,3,5,6,1.1,1,Hybrid,1,0.7450678319751256
30,142,905.4,1,4.1,5,5,2,10,22.7,1,Waterfall,0,0.4871174551364495
