durasi_rencana_hari,panjang_deskripsi_kata,jumlah_tag,prioritas_tinggi,adalah_bug,sedang_blocked,jumlah_komentar,beban_kerja_assignee,bulan_dibuat,tim,peran_assignee,status_proyek,terlambat,prediksi_probabilitas
63.0,12,4,1,0,1,3,0,5,Team 8,Ops,active,0,0.06195774314180678
6.0,28,1,0,0,0,0,0,2,Team 8,Engineer,completed,0,0.09264105201108583
28.0,0,3,0,0,0,2,3,1,Team 0,Product Manager,on_hold,0,0.04360884282595604
28.0,0,3,0,1,0,0,1,8,Team 8,Marketer,completed,0,0.06069827111172203
62.0,0,1,0,0,0,0,0,11,Team 8,Spesialis Lainnya,active,0,0.045975494887333275
27.0,25,3,0,1,0,0,1,9,Team 3,Engineer,active,0,0.05628537024108314
30.0,28,2,0,0,0,0,0,5,Team 16,Product Manager,completed,0,0.054839419506665786
9.0,11,0,0,0,0,0,0,11,Team 10,Marketer,active,0,0.050522832019165444
7.0,6,2,0,0,1,0,1,12,Team 6,Product Manager,completed,0,0.06028093369406866
6.0,0,1,1,0,0,3,0,9,Team 8,Spesialis Lainnya,active,0,0.08482498648814336
16.0,28,1,0,0,0,2,2,11,Team 5,Engineer,on_hold,0,0.05032147482760844
13.0,26,1,0,0,0,1,0,10,Team 5,Designer,completed,0,0.05275660515423783
12.0,8,0,0,0,0,2,0,1,Team 14,Designer,completed,0,0.057350035190748216
39.0,26,2,0,0,0,3,1,3,Team 7,Marketer,active,0,0.058439802020349936
-7.500520833333334,24,2,0,1,0,0,0,12,Team 19,Engineer,active,1,0.68838439004018
23.0,30,1,0,0,0,2,0,8,Team 6,Spesialis Lainnya,active,0,0.04726970397657823
89.0,11,0,0,0,0,0,1,10,Team 17,Ops,active,0,0.053831797269853245
5.0,28,1,0,1,0,0,0,3,Team 1,Engineer,active,1,0.10882692608261858
4.0,21,0,0,0,0,0,0,8,Team 12,Ops,active,0,0.15088996261268167
22.0,11,0,0,0,0,4,0,4,Team 13,Designer,active,0,0.061466859320955934
5.0,27,1,0,0,0,0,0,7,Team 10,Designer,active,1,0.1250158031441898
26.0,27,1,0,0,0,0,1,9,Team 2,Marketer,active,0,0.05859770763779965
34.0,24,4,1,0,1,1,0,3,Team 16,Product Manager,completed,0,0.04827886659842531
10.0,25,2,0,0,0,0,0,7,Team 2,Designer,on_hold,0,0.04966406445482085
45.0,0,0,0,0,0,4,0,2,Team 9,Product Manager,active,0,0.056352075279005924
50.0,3,2,0,0,0,1,0,3,Team 13,Spesialis Lainnya,active,0,0.04982603677290745
87.0,25,1,0,0,0,1,1,3,Team 15,Ops,completed,0,0.05293331446069116
78.0,4,0,0,0,0,1,0,2,Team 6,Marketer,on_hold,0,0.044442058997473936
36.0,14,2,0,0,0,1,0,11,Team 4,Ops,completed,0,0.05706588284242496
65.0,14,4,0,0,0,0,0,6,Team 19,Product Manager,active,0,0.05478189797481594
45.0,4,1,0,0,0,3,0,4,Team 16,Engineer,active,0,0.045957788427702276
38.0,6,2,0,0,0,4,0,5,Team 18,Designer,active,0,0.06378868112636775
80.0,25,1,0,0,0,1,2,5,Team 6,Engineer,active,0,0.0533025048528233
10.0,0,1,0,0,0,2,0,4,Team 17,Product Manager,active,0,0.051693204370519365
-2.270648148148148,12,1,0,0,0,4,0,5,Team 0,Spesialis Lainnya,completed,1,0.667355714268112
3.0,12,0,0,0,0,0,0,6,Team 0,Engineer,active,0,0.17050305709511188
-0.4572569444444444,3,0,0,0,0,4,0,3,Team 13,Engineer,active,1,0.6682776132378693
41.0,15,2,0,0,0,0,1,9,Team 18,Marketer,active,0,0.06147291124785811
23.0,30,2,0,0,0,2,0,4,Team 6,Engineer,completed,0,0.05068036052910807
2.0,8,1,0,0,0,3,3,12,Team 5,Marketer,active,1,0.5686786773097193
14.0,27,1,1,0,0,1,0,2,Team 1,Designer,completed,0,0.04909792950169253
28.0,5,1,0,0,0,1,1,10,Team 4,Marketer,completed,0,0.05194013293708497
36.0,26,1,0,0,0,3,0,10,Team 8,Product Manager,completed,0,0.0558887555015822
3.0,15,2,0,0,0,4,0,12,Team 10,Engineer,active,0,0.21559879416970748
57.0,4,2,0,1,0,1,0,3,Team 5,Ops,active,0,0.050150319867236955
18.0,6,0,0,0,0,2,2,11,Team 1,Ops,active,0,0.05692747268521459
49.0,4,3,0,0,0,3,1,12,Team 12,Designer,on_hold,0,0.047343308296748675
4.0,7,0,0,0,0,0,0,7,Team 18,Marketer,completed,0,0.17603618525794595
7.0,0,1,0,0,0,2,0,5,Team 11,Engineer,active,0,0.0564708440239399
12.0,24,1,0,0,0,3,1,8,Team 19,Product Manager,active,0,0.057566664689456294
5.0,7,0,0,0,0,0,2,5,Team 2,Marketer,completed,1,0.1405694170886572
23.0,24,2,0,0,0,2,0,12,Team 5,Product Manager,active,0,0.05535890121736767
2.0,8,2,0,0,0,0,0,2,Team 5,Engineer,active,1,0.49562500382961
47.0,12,1,0,0,0,4,2,11,Team 19,Ops,completed,0,0.06466424319335883
12.0,7,0,0,0,0,3,3,9,Team 4,Ops,active,0,0.05716642009266408
36.0,26,0,0,0,0,3,1,12,Team 13,Ops,active,0,0.06282208780146306
48.0,0,2,0,0,0,0,1,12,Team 19,Marketer,active,0,0.05686041436479466
39.0,20,2,0,0,0,0,0,7,Team 15,Engineer,completed,0,0.058681291663883146
21.0,27,3,0,0,0,3,6,2,Team 6,Ops,active,0,0.1939140023955919
13.0,11,0,0,0,0,0,0,4,Team 0,Designer,completed,0,0.05833833642979112
21.0,0,0,0,0,0,0,1,10,Team 8,Engineer,completed,0,0.052928411199572145
3.0,7,0,0,0,0,0,0,2,Team 2,Designer,completed,0,0.19683738831189912
10.0,5,2,0,0,0,0,1,8,Team 11,Product Manager,on_hold,0,0.048085324516390096
9.0,0,2,1,0,0,3,0,4,Team 15,Ops,completed,0,0.06207914907377681
62.0,4,2,0,0,0,3,0,7,Team 4,Product Manager,completed,0,0.05415313107189151
88.0,30,0,0,0,0,3,5,1,Team 18,Product Manager,active,0,0.09271875584675472
