ukuran_tim,durasi_rencana_hari,anggaran_juta,kompleksitas,pengalaman_tim_tahun,perubahan_requirement,keterlibatan_klien,risiko_teknologi,jumlah_stakeholder,turnover_tim_persen,ketersediaan_sumber_daya,metodologi,probabilitas_risiko_sintetis,estimasi_keterlambatan_hari,terlambat
6,207,925.5,2,3.4,4,4,4,8,13.7,4,Agile,0.081,0,0
32,117,389.4,2,20.5,2,2,4,16,14.1,4,Hybrid,0.0,0,0
27,106,935.6,1,4.4,7,4,2,2,17.3,3,Agile,0.09,0,0
19,138,307.1,4,3.7,1,5,5,11,28.0,3,Waterfall,0.916,21,1
19,230,283.5,5,1.4,2,1,4,20,5.8,2,Waterfall,0.993,61,1
35,111,632.1,4,5.3,7,5,3,6,7.4,4,Hybrid,0.461,21,1
6,337,596.2,3,5.5,3,4,5,2,24.9,1,Agile,0.458,0,0
29,191,547.0,4,7.0,5,5,1,7,19.5,2,Hybrid,0.611,14,1
10,320,1448.4,2,1.2,3,3,4,3,18.4,3,Agile,0.531,0,0
6,259,495.2,1,3.1,10,1,4,13,7.3,1,Agile,0.907,42,1
23,142,739.6,2,2.5,5,5,1,5,21.0,5,Hybrid,0.239,0,0
40,106,633.6,4,1.2,1,3,3,6,18.4,5,Agile,0.561,0,0
30,279,854.9,4,3.0,5,1,3,13,13.5,3,Agile,0.895,36,1
31,141,892.7,5,1.5,6,1,2,8,7.3,3,Waterfall,0.956,31,1
30,112,699.8,5,1.0,7,2,5,14,12.9,2,Hybrid,0.977,57,1
32,342,441.3,2,6.2,3,2,4,19,25.2,2,Agile,0.703,0,0
22,192,439.9,1,2.6,0,3,2,19,3.2,5,Agile,0.105,0,0
7,46,504.6,2,2.0,4,3,3,15,5.6,3,Agile,0.233,8,1
34,196,698.0,5,8.2,5,5,1,20,7.0,5,Waterfall,0.432,1,1
20,184,830.9,5,5.7,5,5,1,15,8.7,1,Agile,0.188,26,1
22,320,452.9,1,0.4,3,4,4,3,11.9,1,Waterfall,0.533,31,1
17,269,1075.2,1,4.9,7,4,5,20,19.7,3,Waterfall,0.458,18,1
9,94,541.4,3,4.9,2,5,2,12,15.7,4,Hybrid,0.017,0,0
38,80,189.6,4,2.9,3,2,2,2,12.5,3,Agile,0.816,15,1
32,232,1396.4,5,2.9,3,3,4,13,14.2,5,Hybrid,0.522,0,0
27,45,619.7,4,0.8,0,4,3,6,17.0,1,Agile,0.847,0,0
18,137,899.4,2,13.1,6,2,1,12,0.0,5,Waterfall,0.013,0,0
34,76,244.5,1,3.0,6,5,4,14,20.6,3,Agile,0.417,0,0
23,36,419.2,4,4.7,5,2,2,2,5.4,2,Waterfall,0.622,25,1
19,338,514.3,3,3.2,5,1,1,10,8.5,4,Agile,0.701,16,1
20,60,310.3,5,2.0,8,2,3,3,14.7,4,Hybrid,0.99,57,1
11,33,535.5,3,6.5,3,5,4,4,11.4,5,Agile,0.003,0,0
6,343,486.9,3,4.1,2,2,3,6,15.9,1,Agile,0.585,19,1
24,93,1021.1,2,3.1,4,2,4,16,13.1,4,Hybrid,0.116,0,0
36,304,186.5,1,4.7,2,5,2,9,9.7,2,Agile,0.091,0,0
5,40,775.4,5,3.4,4,1,3,2,24.2,3,Agile,0.838,20,1
35,81,932.8,5,11.0,4,1,4,16,17.7,3,Agile,0.873,0,0
34,67,1402.2,1,6.4,4,5,3,12,14.4,4,Agile,0.016,0,0
13,267,844.5,4,5.2,3,2,2,4,17.5,2,Waterfall,0.255,16,1
27,238,373.7,2,0.9,3,1,5,12,6.4,2,Agile,0.902,42,1
9,189,528.4,3,5.4,6,3,1,6,29.4,3,Agile,0.257,0,0
31,111,670.9,5,5.3,3,4,5,14,3.3,4,Waterfall,0.602,19,1
